Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Количество штук;Изделие;Статус;Изделие.Вид номенклатуры;Заказ-Партия;Нельзя_заменять;Закуп подтвержден;Возможный заказ;Некомплектная_отгрузка;Полная_отгрузка;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
7845;02411;1;2021-01-25 15:22:46.738113;00-00001941;Болт М30-6gх85.8.8.ГЦ ГОСТ Р ИСО 4014-2013;12.52214212;0.0;12.52214212;0.0;0.0;ЭНЕРГОПРОЕКТ-ИНЖИНИРИНГ ООО;04/01-2020 от 31.01.2020, Спецификация №3 от 18.11.2020;2020-11-26 00:00:00;0.0;2020-11-23 00:00:00;1.0;Анкерно-угловая опора У110-2 Проект: 3078тм;К производству;Продукция;02411-1;0;1.0;0.0;0;0.0;0.0;12.52214212;0.0;0.0;0.0
2661;022123;1;2021-01-25 15:22:46.738113;00-00001815;Болт М16-6gх60.8.8.ГЦ ГОСТ Р ИСО 4014-2013;5.94183673;0.0;5.94183673;0.0;0.0;СКН ООО;168320/00377Д от 03.11.2020, ОР № 1016019942 от 10.11.2020;2021-01-14 00:00:00;0.0;2021-01-12 00:00:00;9.0;Анкерно-угловая опора У110-2 Проект: 3078тм 1683_1059ПЭ-37- ПП-ВЛ110.7.000-ТХ-01-ОЛ-001;К производству;Продукция;022123-1;0;1.0;0.0;0;0.0;0.0;5.94183673;0.0;0.0;0.0
2663;022127;1;2021-01-25 15:22:46.738113;00-00001939;Болт М24-6gх85.8.8.ГЦ ГОСТ Р ИСО 4014-2013;314.74356334;0.0;314.74356334;0.0;0.0;СКН ООО;168320/00377Д от 03.11.2020, ОР № 1016019942 от 10.11.2020;2021-01-20 00:00:00;0.0;2021-01-20 00:00:00;2.0;Анкерно-угловая опора У110-2+14 Проект: 3078тм 1683_1059ПЭ-37-Р-ВЛ110.7.000-КС-01-ОЛ-013;К производству;Продукция;022127-1;0;1.0;0.0;0;0.0;0.0;314.74356334;0.0;0.0;0.0
2670;021511;1;2021-01-25 15:22:46.738113;00000002424;Шайба 20 ГЦ ГОСТ 6402-70;0.10504634;0.102;0.0;0.0;0.0;МЕХСТРОЙ ООО;04/08 от 04.08.2020, Спецификация №1 от 04.08.2020;2020-09-27 00:00:00;0.0;2020-09-01 00:00:00;2.0;Опора анкерная (концевая) АО10Г-1М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001;К производству;Продукция;021511-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
2671;02859;1;2021-01-25 15:22:46.738113;00-00003745;Гайка М18-6h.8.ГЦ ГОСТ ISO 4032-2014;2.19876416;0.0;0.0;0.0;1.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №Лот 1929 от 28.04.2020;0;0.0;0;5.0;"Опора анкерная (концевая) А10ГУ-1 Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КНГ-1СБ Про";К производству;Продукция;02859-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
2679;021996;1;2021-01-25 15:22:46.738113;00000010900;Шайба 36 ГЦ ГОСТ 11371-78;3.22348095;0.0;3.22348095;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790 от 28.05.2018, Спецификация №36 (1670) от 21.12.2020;0;0.0;0;1.0;"Прожекторная мачта МПУ-21-В5 Проект: ОЭМЗ-КР-ТП.ПММ.001 с креплением для антенны радиосвязи;";К производству;Продукция;021996-1;0;1.0;0.0;0;0.0;0.0;3.22348095;0.0;0.0;0.0
2680;02412;1;2021-01-25 15:22:46.738113;00-00001815;Болт М16-6gх60.8.8.ГЦ ГОСТ Р ИСО 4014-2013;1.32040816;1.294;0.026408159999999903;0.0;0.0;ЭНЕРГОПРОЕКТ-ИНЖИНИРИНГ ООО;04/01-2020 от 31.01.2020, Спецификация №3 от 18.11.2020;2020-11-23 00:00:00;0.0;2020-11-22 00:00:00;2.0;Анкерно-угловая опора У110-2+5 Проект: 3078тм;К производству;Продукция;02412-1;0;1.0;0.0;0;0.0;0.0;0.026408159999999903;0.0;0.0;0.0
2695;021605;1;2021-01-25 15:22:46.738113;00-00010277;Хомут по чертежу Х-1 М20.09Г2С-12.ГЦ Чертёж: ДК10-Х-1.01;32.64;0.0;32.64;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_43837 от 05.12.2020, Спецификация №2 от 05.12.2020;2020-12-24 00:00:00;0.0;2020-12-23 00:00:00;6.0;"Опора анкерная угловая АУ10ГУ-1 Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КНГ-2СБ Прое";К производству;Продукция;021605-1;0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;32.64
7824;021716;1;2021-01-25 15:22:46.738113;00-00007028;Болт М20-6gх85.8.8.ГЦ ГОСТ Р ИСО 4014-2013;1.14418126;1.111;0.0;0.0;0.0;РОССЕТИ СИБИРЬ ПАО;02.2200.2395.20 от 04.09.2020, Спецификация №1 от 04.09.2020;2020-10-02 00:00:00;0.0;2020-10-02 00:00:00;1.0;Анкерно-угловая опора У110-4 Проект: 3078тм усиленная (С9);К производству;Продукция;021716-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
2702;02853;1;2021-01-25 15:22:46.738113;00000002421;Шайба 20 ГЦ ГОСТ 11371-78;12.79093718;0.0;0.0;0.0;1.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №Лот 1929 от 28.04.2020;0;0.0;0;90.0;"Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КПГ-3СБМ Проект:";К производству;Продукция;02853-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
